Indonesia,Simalungun
diperam,"iporam , iranuh "
diperbaiki,"ipaturei, ipaturei "
diperbodoh,bolok 
dipercaya,"ipahamot, ipahamot 
"
dipercepat,"pagirah, pagirah "
diperjelas,ipatangkas 
diperkarakan,"ipaharahon, ipaharahon "
dipermalukan,ipaila 
dipermudah,lambalamba
dipetik,"iputey, itilpak "
dipi jak,ilanja 
dipijak,idogei 
dipijat,"ialud, ipisat , luntei"
"dipijat; diurut bagian	tubuh	untuk melemaskan otot sehingga peredaran darah lancar",luntei
dipijatkan,ialudhon 
dipikir,"iagan, iagan "
dipikul,lunja
dipikul; memikul,lunja
dipilih,"itodoh, itodoh "
dipintal,iudor 
dipuja,ipajuh
dipukul,"igocal , ilonsing , isaik "
dipukuli,italtal 
dirampok,"ipangus, ipangus "
dirapatkan,iardahkon 
diregangkan,ipaganggang 
diremas,"igamol , iponjal 
, pitil "
diretas,itastas 
diri,diri
diri sendiri,angkulu
dirimkan,"itongoskon 
"
disalin,"ialimko, ialimko "
disambut,"ialoalo, ialoalo "
disampaikan,"idashon , ipasahat "
disandarkan,"isandeihon 
"
disapih,iampul 
disapu,itunila 
disaring,"isayoh 
"
disayat,"isayat, isayat "
disebut,isobut 
disegani,isogani 
diselesaikaan,"idobhon, idobhon "
diselimutkan,isabei 
disemaikan,"isameihon 
"
disembah,"isombah, isombah "
disembam,"isombam , isumsam, isumsam "
disembelih,"ihoyok , isekoh, isekoh , isigoh, isigoh , itagil "
disembunyikan,"ipabuni, ipabuni , ipojonhon , isunihon "
disengat,isorod 
disentak,irota 
disentri,rojan
disentuh,"itumbuk, itumbuk "
disepuh,"isopuh 
"
diserak,isabur 
disergap,"ipolgap, ipolgap , itingkup, itingkup "
disimpankan,"ipaalimihon, ipaalimihon "
disindir,isember 
disini,jon
disiram,ipispi 
disisip,iulbuk 
disitu,jin
disodorkan,"isurdukhon, isurdukhon 
"
disokong,"itungkol, itungkol "
disuapi,isulangi 
disumpit,"iultop, iultop "
disunat,isunat 
disuntik,"iturgis, iturgis "
ditaburi abu,malbu
ditadah,"itedek, itedek "
ditagih,"itunggu, itunggu "
ditahan,"itaban, itaban , itehan, itehan "
ditahbiskan,"isamojai, isamojai 
"
ditambah,itambahi 
ditampar,"ibapbap, ibapbap , itampar, itampar "
ditandu,irandei 
ditanggung,"itanggung, itanggung "
ditarik,"hela  
igeret , igejes , itarik "
ditating,"rabing 
"
ditebas,itobas 
ditegur,"isapa , isisei "
ditembak,itembak 
ditenggelamkan,iunobhon 
diterangkan,subut
diterima,jalo 
diterjang,itanjak 
diteruskan,inunut
ditetak,"itanggam, itanggam "
ditimbun,"itimbun, itimbun , rob "
ditimpa,itipa 
ditinggalkan,"itadingkon 
"
ditipu,"ihilang , ipogo "
dititip,itonja 
dititipkan,itonjahon 
ditiup angin,pur 
ditolakkan,lomban
ditombak,itumbak 
dituangkan,ituanghon 
dituduh,"itukas, itukas "
ditumbuhi,marpoyoni
ditumbuhi rumput,"marpoyoni 
"
ditumbuk,itondol 
ditumpahkan,"idurhaphon, idurhaphon "
ditunggingi,ibungkili 
ditunggingkan,ipabungkil 
ditunggu,"ipaima, ipaima "
ditunjuk,"ituduh, ituduh , itulduk "
diturunkan,"ipaturun, ipaturun "
ditutup,"irongkob, irongkob "
ditutupi,"isangkobi, isangkobi "
diuji,iuji 
diurut,ialut 
diusir,burnang
doa,tonggo
dobkossi,manggurapas
dobkossi bah moru,manggurapas 
domma lotih iahap ham manduda omei ai? kamu sudah letih menumbuk  padi itu?,lotih
dongkol,rampus
dorong,"juar, marsionjaran , onjar"
dorongkan,juarhon 
dosa,dousa
dua,"dua, nanjadihan"
duduk,"duduk, gop, gukguk, hundul, tambam"
duduk goyang,lenggang
duduk goyang lutut,lenggang
duduk lama,palguk
duduk lama- lama,palguk
duduk; ,duduk
duit lama,gobang
duka,pusok
dukacita,horu
duku,duku
dukun,"datu, sibasoh"
dukun wanita,pol
dulang,"sapah, tabak"
dulu,sapari
dulunya,hinando
dungu,longah
dunia,dunia
duri,"duri, suga"
duri daun rotan,limbur
duri ikan,ongkak
durian,durian
durung,durung
durung; tangguk (keranjang dari rotauntuk menangkap ikan); ,durung
dusta,"bual, bualan , goak, gocak, guak, ladung, lamis, omou, porsou"
dusta; bohong,omou
dusta; bohong; ,lamis
ejan,odon
ejan (orang yang hendak melahirkan agar bayi- nya keluar),odon
ejek,"ongon, tugan"
ekor,ihur
elak,sangkah
elang,"garo, haluhui, kalukui, lali"
elastis,edet
emas,omas
embik,behek
embun,"hombun, ombun, sabun"
embun,sabun
emoh,ehi
empat,ompat
empedal,bilalang
empedu,pogu
enak,"depek, helpu, lokut, sodap, taboh"
enak; sedap,helpu
"enak; sedap, lezat (tentang rasa); nikmat, me- muaskan",lokut
enam,onom
enau yang tidak lagi,tail
enau yang tidak lagi menghasilkan nira,tail
encer,enser
endap,tanak
endus,usta
engkau,handian
erat,"gopos, poltik"
fajar,"sareisei, sindar"
fajar,sindar
fitnah,"roga, sagi"
gaba,gaba
gabung,gumul
gabung; ; dibulatkan,gumul
gadai,gadei
gading,gading
gagal,sambang
gagang,"pasi, pordah, songkir"
gagang jerat,baor
gagang tombak,libut
gagap,halot
gagap; tersendat- sendat bicaranya,halot
gajah,gajah
gaji,"gaji, upah"
galah,hayankayan
galak,"garang, odih"
galang di,tantoban
galang di atas tiang tempat melengketkan lantai,tantoban
gali,"bahar, huar, hurak, huruk, ongkal, pahar, tahur, uhal"
gali;dulang;ipaharvdigali,pahar
gamang,gamang
gambir,gambir
gampang,urah
gandeng,kanting
gandum,gandum
ganggu,"daltu, garjou"
"ganggu; ; manggarjou  v	mengganggu",garjou
gangguan,"garjouan, garjouan "
ganjil,"janggil, pisik"
gantang,"bantai, tumba"
gantang (alat untuk mengukur),bantai
ganti,umban
gantinya,hapilinan
gantung,"gantung, paok"
gantung (digantung diatas batu),paok
"gantung, tergantung",embung
garam,"garam, sira"
gareng,pit
garis,"garis, gorit, lus"
garu,gaer
garuk,garut
gasing,gasing
gatal,"ajat, gajom, gayom, gulimut, gumayom, huna, rintop"
gatal seluruh tubuh seperti di jalari tungau,gumayom
gatal tangan,hurpang
gatal tangan; geratil,hurpang
gawat,jahang
gayung,gayung
gedung,sikolahon
gegas,egas
gelak tawa,mehel
gelak tawa; terkekeh-kekeh,mehel
gelang,golang
gelanggang,galanggang
gelap,"golap, pojan"
gelap gulita,"impot, potir"
gelas,galas
geledah,rukas
geleng,upir
gelepar,gurapas
geliat,gedat
geliat; ,gedat
gelincir,jiris
gelisah,"balinsah, busisa, gensang, isah, mitiltil, ngisan, purikas"
gelisah gente [gEntE] n jangkrik betina genteng [gEntEG] n genteng,gensang
gelisah; cemas,isah
gelitik,"gitik, itik"
gelombang,Ry
gelombang; ombak,gilumbang
gemar,"hoji, sormou"
gemar; suka,hoji
gembala,parmahan
gembala parmahanan [parmahanan] n kandang,parmahan
gembira,"dengan, megah, molos"
gembira; dengan-,dengan
gembok,gambal
gembung,"beniat, bonsong, buniat, gombung, jogjog, lining, murmak"
gemeretuk,hurotop
gemerisik,hurasak
gemetar,"geber, hitir, hutur"
gempa bumi,lalou
gempar,"gogor, gompar, goyor, guntar, luetu, lutu"
gempar; ribut,luetu
gemuk,"gomuk, gulmot, mombur, mug"
gemuk botol,goyok
gemuk pendek,"pongok, tobtob"
gemuk sekali,genos
gemuruh,rutuh
genap,kuhup
gencat,dalih
gencat; terhenti,dalih
gendering,dorang
gendong,"ambit, hantul, ombah, tangking"
gendong pakai kain,mangombah 
genggam,jomak
genggaman tangan terhadap nasi,sohak
genit,"hitil, leseh"
genit (bergaya- gaya); banyak tingkahnya; keletah,leseh
gentar,"dujung, hitir"
gentar; takut,hitir
genteng,genteng
genting,itil
gerak,husor
gerakan,tahuk
geram,"ganos, gonos"
gerbang,horbangan
gereja,gareja
gerenda,pungga
gerenda punggar [puGgar] a samar-samar punggur [puGgur] n cabang  kayu,pungga
gergaji,sihit
gerimis,"paris, rimis, rumis"
gerimis ; hujan rintik-rintik,paris
gerobak,gurubug
gerobak guruh [guruh] n guruh gurung [guruG] n punggung,gurubug
gertak dengan,gorba
gertak dengan suara,gorba
gesa,haput
gesek,"mogos, upam"
gesek (ke tanah),upam
geser,"eser, mosor"
getah,"damar, gotah"
getah damar,damar
getah perekat,pulut
getar,danggor
getar; ,danggor
getir,intir
getuk,gotuk
gigi,ipon
gigi anak,totok
gigi anak-anak,totok
gigi atas dan,nges
gigi geraham,ngadol
gigi seri,gugut
gigi taring,sait
gigi yang ber,padehal
gigi yang ber- tumpuk-tumpuk tumbuhnya,padehal
gigih,goloh
gigit,"bulbul, doit, gigit, harat, horut, marsiharatan , untal"
gigit (menggigit kain atau baju biasanya pada anak-anak),untal
gigitan,ngat
gila,"hawar, podou, pualon, ratou, titi"
giling,giling
giling halus,lumat
giling halus;  halus,lumat
giliran,horin
golok,"goluk, gupak"
gondariong tak rapi,jurab
gondok,barut
gondokan,baruton
gondrong,jurab
gong,"mungmung, ogung"
gonggong,umbal
goni,guni
gopoh,jepa
goreng,gorang
goreng; ,gorang
gores,"jei, turih"
goresan,turihon
gosok,"asa, asah, gosok, gusok, husuk, ugus"
gosok; ,gusok
gosok; asah; ,husuk
gotong royong,royong
gotong- royong,haroan
goyang,"dagor, dugur, duyung, muyog, unggal, unggat, unjal"
gua,liang
gubuk kecil di,sopou
gubuk kecil di ladang atau sawah,sopou
gudang,gudang
gugup,"bebet, gagap, gaot, motot"
gugur,"molei, tangtang"
gugus,rurus
guit,guit
guitkan,"guithon 
"
gula,gula
gulung,"golung, hulhul, pang"
gumpal,"gumbal, lempeng"
gumpal; ,gumbal
gumpal; ; satu gumpal,lempeng
gumul,gumpul
guna,"ayakan, gagan, guna, labu"
guncang,gunsang
"guncang, berguncang",gunsang
gundu,guli
gundul,"gepol, pal"
gunting,rasip
gunung,dolog
guru,guru
guruh,guruh
gusi,"hasiratan, sirakan, siratan"
ha,ha
habis,"ambis, angkis, bois, danga, dogus, gondol, horus, punah, ragas, tagas, tungkal"
habis saat,mampul
habis saat pohon enau disadap,mampul
habiskan,"ahar, horushon , ompot"
hadap,hadap
hae,kae
hafal,apil
hafalan,apilan
hai,ei
hajat,hajat
hak,hak
"hak;kuasa;marhak	v		berkuasa;	berkuasa",hak
hal,"partorusuk, pinarsahapkon"
halal,hanal
halaman,alamen
halangan,"guba, lolah, sangkat"
halangan yang datang tiba-tiba,guba
halilintar,porkas
halus,alus
halusi,hupas
hambar,langu
hambat,"adang, ambat"
"hambat, rintangi: ulang olat ho parlahoni jangan rintangi ke- pergiannya",olat
hambur,"gerda, sabur"
"hambur, dibuang- buang",gerda
hamil,"bejeg, hamil"
hampa,lapung
hampa (padi); tidak bernas,lapung
hampir,"ampir, hapir"
hampir; dekat,hapir
hampiri,hapiri 
hancur,"dantur, gotom, hansur, lamur, lantur"
hancur berantakan,pugar
hancur luluh,"lompur, ropuk"
hancur;  hancur,dantur
handalan,geleng
hangat,malas
hangus,"hangus, monsong, mosong, puntung, rasog"
hantam,"bidas, dogap"
hantar,darag
hantu,"babeng, begu, beheng"
hanya,"hansa, mando, naman, pitah, tang"
hanya; saja,hansa
hanyut,"ayup, boar, mayup"
hapus,"apus, sasap, usap"
hapus; usap; ,apus
haram,haram
haram (anak),gampang
harap,"arap, tingkis"
harapan,abir
harga,"arga, marborgokkon"
harga diri,marborgokkon 
hari,"ari, partubuh"
hari,pangoloi
hari keempat dalam hitungan adat Simalungun,mudaha
hari ketiga,anggara
hari ketiga dalam kelender simalungun,anggara
hari minggu,minggu
hari sekitar pukul delapan malam,pangoloi
harikelimabelasdalamsetiapbulan,tula
harimau,begu
harta,"antikan, arta"
harta yang dimiliki,sinadongan
harum,"mopuk, morum"
harum,marium
harus,maningon
harus  patut,maningon
hasta,"asta, kolag"
hati,"maruhur , pae, pangkei, uhur"
hati yang tulus,saluju
hati-hati,pangkei
he,hei
hebat,sanggou
hei,ale
hemat,"gipo, hemat"
hembus,"ombuk, pus, uos"
hembus (tentang angin),uos
hendak lekas,gilgilan
henti,"honti, soh"
hentikan,diah
heran,"himong, longang"
"heran, bengong",longang
heran; bingung,himong
Hg sayur,leo
hiasan,"sambahou, sorminan"
hiasan bagian samping dan belakang rumah yang biasa dilukis,sambahou
hiasan depan biasanya  dilukis ornamen,sorminan
hiasan yang,gorga
hiasayang berupa dua atau tiga dimensi,gorga
hidangan,ayapan
hidung,igung
hidup,"idup, manggoluh"
hijau,"ratah, siratah"
hilang,"ambok, bonoi, likou, magou, manggou, masab, sibou"
hilang:,sabou
hilir,"kehen, tamporan"
himpit,impit
hina,"bilei, dorun, hiri"
hina: darsat dassa palahoumu hina kelakuanmu,darsat
hindar,simbil
hingar,"dopang, gobag, hulasak, hurasak"
hingar- bingar,hurasak
hingar-bingar,"dopang, hulasak"
hingga,"singgan, sintig"
hinggap,"sogop, tangkol"
hiruk pikuk,dengang
hirup,irup
hisap,onsop
hitam,"birong, pajom, sibirong"
hitung,"bilang, etong"
hormat,"hamat, hormat, jombut, lai, sangap, upak"
hujan,"haba, udan"
hujan batu,ambolas
hujan gerimis,"maris, pinaras"
hukum,"hukum, uhum"
hulu,"luan, suhul"
huruf,"habirotan, hajoringan"
huruf  keenam  belas dalam aksara Simalungun (dari surat sapuluh siah),la
huruf batak yang menukar  u,habirotan
huruf kedelapan,ja
huruf kedelapan dalam aksara Simalungun (dari surat sapuluh siah),ja
huruf kedua,"ha, ka"
huruf kedua belas dalam,ta
huruf kedua belas dalam aksara Simalungun (dari surat sapuluh siah),ta
huruf kedua dalam  aksara Simalungun (dari surat sapuluh siah),ka
huruf kedua dalam aksara Simalungun (dari surat sapuluh siah),ha
huruf keempat belas,ya
huruf keempat dalam,pa
huruf keempat dalam aksara Simalungun (dari surat sapuluh siah),pa
huruf keenam dalam,wa
huruf keenam dalam aksara Simalungun (dari surat sapuluh siah),wa
huruf kelima belas,nga
huruf kelima belas dalam aksara Simalungun (dari surat sapuluh siah),nga
huruf kelima dalam,na
huruf kesebelas dalam,ma
huruf kesebelas dalam aksara Simalungun (dari surat sapuluh siah),ma
huruf kesembilan,da
huruf kesembilan dalam aksara Simalungun (dari surat Sapuluh Siah),da
huruf kesepuluh dalam,ra
huruf kesepuluh dalam aksara Simalungun (dari surat sapuluh siah),ra
huruf ketiga belas,sa
huruf ketiga belas dalam aksara Simalungun (dari surat sapuluh siah),sa
huruf ketujuh belas,i
huruf ketujuh belas dalam aksara Simalungun (dari surat sapuluh siah),i
huruf ketujuh dalam,ga
huruf ketujuh dalam aksara Simalungu(dari surat sapuluh siah),ga
huruf pertama dalam aksara Simalungun (dari surat sapuluh siah),Adjective
hurufkelimadalamaksaraSimalungun(darisuratsapuluhsiah);yang;menunjukkankondisisesuatu,na
hutan,"harangan, talun, tombak"
ia,bana
ia (orang yang dibicarakan),bana
ia mandarag omei hu jabu menghantar padi ke rumah,mandarag 
ialah,aima
iba,ambil
ibu,"inang, puang"
ibu jari,ompu
ibukota provinsi Sumatera Utara,medan
ijuk,"aribut, enus"
ikan,"deke, dengke, gampual, halui, ihan, salenggam"
ikan,dengke
ikan air tawar,haporas
ikan baung,baung
ikan gabus,"badou, itok"
ikan gampual,gampual
ikan jurung,insor
ikan lele,sibahut
ikan mas,arsik
ikan mas yang dimasak dengan bumbu  khusus,arsik
"ikan yang dicincang halus, dicampur dengan lengkuas dan serai",salenggam
ikat,"baringka, borkos, hatimulmul, ihot, rahut, sangkut, tambat, untam"
ikat (tentang hewan piaraan),untam
ikat erat,bariang
ikat mulutnya,huntam
ikat pinggang,"alilingei, bonting, gondit"
ikat pinggang (yang di jalin dari  atau  helai benang berwarna- warni,hatimulmul
ikat pinggang yang terbuat dari tembaga,alilingei
ikat; mengikat;  meng- ikat,lahat
ikat;tempatnyawaberpaut,ihot
ikatan,rahutan
ikuntukan,"irikhon, irikhon "
ikut,"dihut , ihut, ihut "
ikut sertakan ihut,"percayaan Simalungun 
paihut "
ilalang,rih
ilmu bertinju,pidoras
ilmu hipnotis,bogang
ilmu sihir,ajibeot
ilmu sihir (yang membuat mulut miring),ajibeot
ilmu sihir yang,pukou
ilmu tidak benar,lasam
ilmu untuk melemahkan dan menundukkan orang,susa
ilmu yang,ajiturtur
ilmu yang membuat tubuh gatal-gatal,ajiturtur
ilmu yang tidak ada kebenarannya,lasam
impian,nipion 
induk,indung
induk surat ke,ba
induk surat ke  (dari surat sapuluh siah),ba
indung,lampusung
influenza,pulensa
ingat,"dingat, ingat, ingot, singat"
ingatan,"ingoton, ingoton , pardingat "
ingin,"gio, impol, ra, sura"
ingkar,engkar
ingus,sungui
ini,"adon, andon, on"
inilah,gelah
injak,rojat
intai,"intei, onggop"
intan,intan
intip,intip
ipar,"kaha, lae, lawei"
irama,lubuk
irama; dendang; ,lubuk
iri,subil
iring,"dihut, hentor, irik, iring, odor"
iring; ,hentor
iringan,odoran 
iris,"horot, iris"
isap,insop
isapan,insopon 
isi,"isi, nahi, nai"
istirahat,"onjol, saran"
istri,"nanialop, parinangon"
istriraja,puang
itik,itik
itik; bebek,itik
itu,"aday, ai, andin, ay, in, inon"
itulah,"andin, indo"
iya,iah
izin,lopas
jadi,"jadi, saud"
jaga,"jaga, jaru, ramot, rorot"
jaga; asuh,jaga
jagung,jagul
jahat,"ilat, jahat, janggal, jungkat"
jahat; sangat jelek,janggal
jahe,"poge, rimpang"
jahit,"jait, jalujur, jarum"
jaja,"ajuk, aru"
jaja; jajakan,ajuk
jala,jala
jala besar,ulangan
jalan,"abalan, dalan, dalan , dalanan, mawat, pamontasan, sulelet"
jalan air,paluh
jalan cepat,entes
jalan raya,pasar
jalan raya; jalan besar,pasar
jalan setapak,abal
"jalan setapak (yang dilalui		oleh		manusia)",abal
jalan setapak yang,bahal
jalan setapak yang biasa dilalui manusia sehingga rumput-rumput di jalan tersebut mati,bahal
jalan yang harus dilewati,dalanan 
jalang,jalang
jalang;tunasusilajalir[jalir]vmeleleh;menetes,jalang
jalan-jalan,sulelet
jalan-jalan; berjalan-jalan (untuk yang menjaga),mawat
jalar,julur
jalar; rayap; ,julur
jalin,pikas
jalur,"galur, jalur"
jalur air di bawah,ponot
jalur air di bawah tanah,ponot
jalur; kolom,jalur
jamah,romak
jamban,jamban
jambu,jambu
jambul,"jumbak, ranggitgit"
jambul pada ayam betina,ranggitgit
jambul;rambutdikepalasebelahdepan,jumbak
jamin,"kaho, mapit"
jamin; menjamin,mapit
jamu,tawar
janda,balu
janda (ditinggalkan oleh suami atau istri karena salah seorang meninggal dunia),balu
jangan,ulang
janggut,"jabek, jambek, jenggot"
janggut; jenggot,jabek
jangkrik,"bingkarung, hirik"
jangkrik betina,gente
jangkrik hutan,bingkarung
janji,"bagah, buhul, padan"
janjikan,"bagahi 
"
jantan,"agam, jantan, ribu, tunggal"
jantung,"jantung, pusu, santung"
jantung (ten- tang pisang),santung
jarak,jingkang
jarang,"holang, jantang, jarang, lahang, marpakholangi, ranggou, rangrang"
jarang; - jarang,holang
jari,"jajari, jari, ramukon, tuamalang, tuduh"
jari,sijumekjek
jari kelingking,didihil
jari manis,"ambarita, parmanis, sijumekjek"
jari telunjuk,tutuduh
jari tengah,"partongah, situalang, tuamalang, tutualang"
jari tengah tutuduh [tutuduh] n jari telunjuk tutuhuyon [tutuhuyon] n sejenis,tutualang
jari-jari,jajari
jarum,"jarum, tutungei"
jasa,ombou
jatah,rupeian 
jatuh,"ambur, buh, dumpang, gopa, ompas, talbug, talpung"
jatuh,madabuh
jatuh  tertelentang,harsat
jatuh (semua),talpung
jatuh (tidak disengaja),ompas
jatuh terpelanting,magijig 
jatuh tiba,albas
jatuh tiba-tiba,albas
jauh,"dao, daoh, lejep"
jauh berbeda,pandir
jauh sekali,liput
jauhberbeda,pandir
jawab,"balos, jabab"
jawab; balas,jabab
jawaban,sampang
jawaban kasar,junggar
jawaban untuk,lagi
jawaban untuk panggilan di pemandian laki- laki atau perempuan,lagi
jawaban yang kasarnatau kurang sopan,junggar
jejak,paer
jelaga yang,tanggong
jelaga yang terdapat di periuk atau belanga,tanggong
jelang,maleley
jelas,"bojei, jojor, talotas, tangkas, tedang, tidak, tili, timbas"
jelatang,"latong, lotong"
jelatang; sejenis tumbuh-tumbuhan yang meng- gatalkan; jelatang,latong
jelek,sambor
jembut,janggut
jempol,indung
jemur,"dian, hirei, hojah, hoyah, jomur, kiah"
jemuran,jomuron 
jendela,tingkap
jengger,baringbing
jengger atau pial ayam merah menandakan ayam akan bertelur,jernget
jengger ayam yang merah,jernget
jengkal,jongkal
jengkal; ; ,jongkal
jengkol,joring
jenguk,"iligi, tungkir"
jenis,sibarangan
jenis kain tenun,ragi
jenis kayu yang,mobi
jenis kayu yang berbuah,mobi
jenis keladi yang warnanya hitam dan rasa umbinya enak bila di- rebus,sibarangan
jenis masakan dari,ura
jenis masakan dari daging yang diberikan kepada orang yang sakit agar cepat sembuh,ura
jenis tumbuhan,oma
jenis tumbuhan lalang berdaun tajam bergerigi tumbuh di rawa-rawa,oma
jenis ubi,sihampilis
jentik,"jontik, pohir"
jentik (menjentik sesuatu dengan jari tangan),pohir
Jepang,jopan
jepit,"apit, gampit, hapit, lisat"
jepit; ,gampit
jepit;himpit;lindas,lisat
jepitan janggut,angkip
jepitkan,"hapithon, hapithon  "
jera,jora
jerami,anggala
jerang,"jorang, tanggor"
jerangau,jarangou
jerat,"binjora, jarot, jobang, jorot, rajum, sambil, siding"
jerat atau perangkap untuk menangkap burung,jobang
jerat; perangkap,jorot
jerawat,"dawadawa, jarawat"
jerawatan,"dawaon, dawaon "
jerit,dorak
jernih,lihou
jeroan,sondihi
jeruk,untei
jeruk purut,mungkur
Jijik,goyang
jijik,"goyak, magigi"
jika,"ambit, anggo"
jika begitu,antong
"jika, kiranya",ambit
jilat,dilat
jimat,"jimat, pagar"
jimat (penjaga badan),pagar
jin,homin
jin; hantu,homin
jinak,"lomuk, lonap"
jingkat,"jengkat, jingkat"
jingkat; ,jingkat
jinjing,hanting
jodoh,rongkap
jolok,"anjung, arjuk, aruk, joruk"
jongkok,pinggung
jongkok gelap,jongkok
jongkok gelap jongok [jOGOk] a besar pendek,jongkok
jorok,makus
jual,jual
judi,judi
juga,"ampa, humani"
jujur,pintor
juling,jeleng
juling; kero,jeleng
julur,"hurei, sudur"
jumput,jomput
jumput; pungut; ,jomput
jung,isang
jungkit,pingkal
jungkit dan mengeluarkan,duhit
junjung,jujung
junjungan,jujungon 
juntai,jerbang
juragan,paromei
jurang,"lombang, luhung"
jurang yang,balubu
jurang yang dalam,balubu
juror;tulusikhlas,jujur
kabar,habar
kabar angin,gan
"kabur, buta",rodam
kaca,hasa
kaca;cermin;;berkaca,hasa
kacang,"dali, hasang, kosong"
kacang borongan,borong
kacang tanah,hambili
kacau,"deor, ingor, sasou, sehu, ugei"
kadang,sipata
kain,"abit, goda, haen, hatirongga, hiou, saput"
kain adat,sintakan
kain adat Simalungun yang dibuat untuk menutup keranda ketika mem- bawa mayat ke kuburan,sintakan
kain basahan,basahan
kain basahan (kain yang digunakan sebagai penutup tubuh saat mandi),basahan
kain buruk,sigundal
kain kepala,jungjung
kain lampin,ampan
kain lampin; kain bedung,ampan
kain lap,tualah
kain merah,hasumba
kain; sarung,hiou
kais,"haer, hais, hear"
kaiskan,haishon 
kait,hait
kait; kaut,hait
kaitan,haitan
kajang,hajang
kakak,kakak
kakek,ompung
kaki,"haes, hais, kateas, nae, nahei, ne, sagakan, teas"
kaki atau tangan,pehul
kaki ter,ranggang
kaki ter- kangkang karena jatuh (ter- jengkang),ranggang
kaktus,hatengget
kalah,"alah, lehleh"
kalajengking,gossipgolang
kalau,"angga, asal"
kaleng,"ayan, hopi"
kali,"hali, halian, torab"
kalian,"hanima, nansiam"
kalung,"aliali, sinokok, sinongkuk"
kalung ( kalung berisikan obat untuk bayi laki- laki),aliali
kalung biji yang,moning
kalung biji yang jernih rupanya,moning
kamar,"hamar, kamar"
kamar tidur,biluk
kambing,hambing
kambing bandot,bajar
kambing bandot;,bajar
kami,"hanai, hanami"
kampak,kapak
kampung,"desa, dusun, huta, nagori"
kampung di Raya,Limag
kampung; dusun,huta
kamu,hanima
kamu ; anda,ham
kanan,siamun
kancil,paes
kandang,"hadang, handang, harang, parmahanan"
kandang babi,lobu
kandang kuda,jambur
kandis,handis
kangkang,hangkang
kangkung,kangkung
kanker,isuk
kantong,"hunsang, kussang"
kantong; saku;  huntam [huntam] v ikat mulutnya,hunsang
kantuk,"edep, medep"
kantung pundi,lantang
kantung pundi tempat sirih,lantang
kapak,hapak
kapal,kapal
kapan,"andigan, nandigan, nantigan"
kapas,"hapas, kapas"
"kapuk hapas	[hapas]	n		bunga kecombrang	yang		sudah",hapas
kapur,"hapur, tasak"
karat,tusik
karena,"alani, halani"
karena; sebab,halani
karib,sangkan
karma karena lupa,pipot
karma karena lupa akan janji atau karena tidak tahu balas budi,pipot
karung,sumpit
kas n,suak
kasar,"barsang, hasar, horsang, jolgah, jorgah, podu, sogar, sorgang"
kata,"hata, hung, ninta, sahap, umbalos"
kata atau ucapan untuk,pus
kata atau ucapan untuk memanggil atau mengusir kucing,pus
kata basa,ejek
kata basa-basi dalam percakapan,ejek
kata kita,ninta
kata penunjuk orang ketiga,si
kata permulaan pada,pat
kata permulaan pada umpama; bunga kata untuk menarik perhatian bagi orang yang akan mendengar umpama atau pantun,pat
kata untuk memanggil,nu
kata untuk memanggil babi,nu
kata yang biasa,mari
kata yang biasa dipakai dalam mantera,mari
kata yang digunakan,"seis, tabi"
"kata yang digunakan untuk mendapatkan persetujuan atau izin (untuk melakukan sesuatu,	ingin		lewat,	dsb) sebagai penanda kesopanan",tabi
kata yang digunakan untuk mengusir anjing,seis
kata yang diucapkan,"nah, nam, neh"
kata yang diucapkan saat memberi,nah
kata yang diucapkan seseorang ketika menyerahkan sesuatu kepada orang yang lebih dihormati,nam
kata yang diucapkan untuk menyuruh orang pergi,neh
kata yang tidak berbobot,hopur
katak,"jokjok, polang, tohuk"
katak (yang hidup di sungai),tohuk
katakan,"hatahon, hatahon "
kata-kata awal atau pembuka kalimat mantera- mantera di Simalungun,hung
kata-kata yang diucapkan dalam tangisan untuk meratapi kematian mertua,umbalos
kataku,"bangku, ningku"
katanya,nini
kati,kati
kau; anda,ho
kaum haut [haut] n sangkut; kait,haum
kawan,"hasoman, hawan, huan, siatup, soman"
kawan bicara,saparbualan 
kawan; teman,huan
kawat,"hawat, horah"
kawin lari,"luah , mangaluah "
kawin semarga,jumbar
kaya,"bajak, bayak, mora"
kayu,"dangadanga, hanawei, hayu"
kayu api,"sagadon, soban"
kayu api yang besar,sagadon
kayu bakar,bintatar
kayu bergetah,rubei
kayu lapuk,dangadanga
kayu raja,tualang
kayu tumbang,rompoh
kayu yang berapi,howot
kayu yang tumbang,rompoh
kayu; batang,hayu
kayuh,"hayuh, kayuh, luga"
ke,"hu, panagolan"
ke  sana  ke  mari; melanglang buana,erdak
ke mana,huja
ke- ponakan,panagolan
ke sana,"hujadui, hujai, hujan"
ke sana ke mari,erdak
ke sini; kemari,hujon
ke situ,hujin
keadaan,nungnang
keadaan bertengkar,nungnang
keanggotaan,"hapagorion, hapagorion "
keasyikan,hirtap
kebal,"apung, hobal, muntul"
kebaya,kobaya
kebenaran,habonaron
keberadaan,paradongi 
keberatan,okoh
keberatan (orang yang tampak keberatan mem- bawa beban),okoh
kebersihan,haborsihon 
keberuntungan,"haokangon, haokangon , hatuahon"
kebiasaan,hasomalon
kebiasaan dengan,pansa
kebiasaan dengan menggunakan empat,pansa
kebingungan,marhimong
kebun,"dagang, kobun"
kecambah,gusta
kecambah; ,gusta
kecapi,husapi
kecewa,"bongal, hiran"
kecibung,sangkuttoi
